id,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7lDhAXTGe5LO9xSbq56t0K,Nice Work If You Can Get It,"Marcus Roberts, ",0.671,0.482,283667,0.237,0.914,8,0.099,-21.34,1,0.104,202.3,4,0.681
4lsoraogx0H5pMYMQe9FyO,A Touch Of Silver,"Nicholas Payton, ",0.845,0.515,313560,0.519,0.696,7,0.102,-9.631,1,0.0391,128.346,4,0.343
34oMi39G5RYgaCPwRNJ7OU,They Didn't Believe Me,"Beegie Adair, ",0.839,0.583,209333,0.233,0.816,8,0.139,-15.529,1,0.0354,135.308,4,0.513
48Q8ER4XOaE4r00bjRxT9r,Begin The Beguine - Alternate Take,"Art Pepper, ",0.83,0.51,375173,0.398,0.14,8,0.149,-12.411,1,0.0718,181.695,4,0.709
6geba7EiMvkWk7h2XWzjb8,Cambridge Place,"Danny Grissett, Vicente Archer, Kendrick Scott, ",0.757,0.451,423520,0.441,0.811,8,0.0871,-14.813,1,0.0353,77.381,4,0.588
2uiTBklIqGQhPYdlUGvPl3,Mojo,"Booker Ervin, ",0.64,0.477,477693,0.301,0.0000063,7,0.0881,-15.635,1,0.0351,174.859,4,0.52
5lRBU0r21BO0TMmUe73Ysj,The Outlaw (Rudy Van Gelder Edition) [2007 - Remastered],"Horace Silver Quintet, ",0.709,0.548,367880,0.483,0.314,5,0.32,-12.246,1,0.035,104.35,4,0.744
0aEcArQsqTpErHdixEVaHj,Killer Joe,"Benny Golson, ",0.793,0.532,413427,0.369,0.00609,5,0.0819,-10.255,1,0.0407,120.192,4,0.233
2BhU0Hl5OatWiCW93pE2b8,Remember - 1999 Digital Remaster,"Hank Mobley, ",0.794,0.539,342333,0.403,0.000613,8,0.278,-9.168,1,0.0531,165.301,4,0.688
3gPr9tbx4jSM0nS6O9J5UZ,Blues for Sharpie,"David Hazeltine, ",0.624,0.493,329653,0.283,0.109,2,0.117,-17.36,1,0.0316,73.745,4,0.394
77q37gyYNb25EzIkpMic11,Smoke Stack - 1999 Digital Remaster,"Johnny Griffin, ",0.602,0.498,660376,0.739,0.00044,5,0.192,-7.167,1,0.0587,109.691,4,0.836
1zEkUwTpz0zKRMPsZdzMbY,Just in Time,"Bud Shank, ",0.889,0.606,225960,0.253,0.836,0,0.147,-14.412,0,0.0342,88.155,4,0.59
